sl_no,state,pc_name,count_of_elector,poll_percentage,count_of_votes
1,Assam,Darrang-Udalguri,2209314,82.01,1811764
2,Assam,Diphu,901032,75.74,682441
3,Assam,Karimganj,1412148,80.48,1136538
4,Assam,Nagaon,1817204,84.97,1544081
5,Assam,Silchar,1369578,79.05,1082616
6,Bihar,Banka,1856566,54.48,1011513
7,Bihar,Bhagalpur,1983031,53.50,1060982
8,Bihar,Katihar,1833009,63.76,1168752
9,Bihar,Kishanganj,1829994,62.84,1149988
10,Bihar,Purnia,1893698,63.08,1194484
11,Chhattisgarh,KANKER,1654440,76.23,1261103
12,Chhattisgarh,MAHASAMUND,1762477,75.02,1322125
13,Chhattisgarh,RAJNANDGAON,1868021,77.42,1446247
14,Jammu and Kashmir,JAMMU,1780835,72.22,1286144
15,Karnataka,Bangalore central,2433751,54.06,1315612
16,Karnataka,Bangalore North,3214496,54.45,1750372
17,Karnataka,Bangalore Rural,2802580,68.30,1914030
18,Karnataka,Bangalore South,2341759,53.17,1245168
19,Karnataka,Chamarajanagar,1778310,76.82,1366015
20,Karnataka,Chikkballapur,1981347,77.00,1525718
21,Karnataka,Chitradurga,1856876,73.30,1361031
22,Karnataka,Dakshina Kannada,1817603,77.56,1409653
23,Karnataka,Hassan,1736610,77.68,1348966
24,Karnataka,Kolar,1726914,78.27,1351646
25,Karnataka,Mandya,1779243,81.67,1453060
26,Karnataka,Mysore,2092222,70.62,1477576
27,Karnataka,Tumkur,1661309,78.05,1296720
28,Karnataka,Udupi Chikmagalur,1585162,77.15,1222888
29,Kerala,Alappuzha,1400082,75.05,1050726
30,Kerala,Alathur,1337496,73.42,981945
31,Kerala,Attingal,1396807,69.48,970517
32,Kerala,Chalakudy,1310529,71.94,942787
33,Kerala,Ernakulam,1324047,68.29,904131
34,Kerala,Idukki,1250157,66.55,831936
35,Kerala,Kannur,1358368,77.21,1048839
36,Kerala,Kasaragod,1452230,76.04,1104331
37,Kerala,Kollam,1326648,68.15,904047
38,Kerala,Kottayam,1254823,65.61,823237
39,Kerala,Kozhikode,1429631,75.52,1079683
40,Kerala,Malappuram,1479921,72.95,1079547
41,Kerala,Mavelikkara,1331880,65.95,878360
42,Kerala,Palakkad,1398143,73.57,1028627
43,Kerala,Pathanamthitta,1429700,63.37,906051
44,Kerala,Ponnani,1470804,69.34,1019889
45,Kerala,Thiruvananthapuram,1430531,66.47,950829
46,Kerala,Thrissur,1483055,72.90,1081125
47,Kerala,Vadakara,1421883,78.41,1114950
48,Kerala,Wayanad,1462423,73.57,1075921
49,Madhya Pradesh,DAMOH,1925314,56.48,1087455
50,Madhya Pradesh,HOSHANGABAD,1855692,67.21,1247298
51,Madhya Pradesh,KHAJURAHO,1997483,56.97,1137867
52,Madhya Pradesh,REWA,1852126,49.43,915444
53,Madhya Pradesh,SATNA,1705260,61.94,1056175
54,Madhya Pradesh,TIKAMGARH,1826585,60.00,1096023
55,Maharashtra,Akola,1890814,61.79,1168366
56,Maharashtra,Amravati,1836078,63.67,1169121
57,Maharashtra,Buldhana,1782700,62.03,1105761
58,Maharashtra,Hingoli,1817734,63.54,1154958
59,Maharashtra,Nanded,1851843,60.94,1128564
60,Maharashtra,Parbhani,2123056,62.26,1321868
61,Maharashtra,Wardha,1682771,64.85,1091351
62,Maharashtra,Yavatmal- Washim,1940916,62.87,1220189
63,Manipur,Outer Manipur,484949,85.11,412737
64,Rajasthan,AJMER,1995699,59.66,1190561
65,Rajasthan,BANSWARA,2200438,73.88,1625731
66,Rajasthan,BARMER,2206237,75.93,1675276
67,Rajasthan,BHILWARA,2147159,60.37,1296228
68,Rajasthan,CHITTORGARH,2170167,68.61,1488898
69,Rajasthan,JALORE,2297328,62.89,1444866
70,Rajasthan,JHALAWAR-BARAN,2030525,69.71,1415420
71,Rajasthan,JODHPUR,2132713,64.27,1370616
72,Rajasthan,KOTA,2088023,71.26,1487879
73,Rajasthan,PALI,2343232,57.19,1339989
74,Rajasthan,RAJSAMAND,2060942,58.39,1203299
75,Rajasthan,TONK-SAWAI MADHOPUR,2148128,56.58,1215309
76,Rajasthan,UDAIPUR,2230971,66.66,1487268
77,Tripura,Tripura East,1396761,80.36,1122424
78,Uttar Pradesh,Aligarh,1997234,56.93,1137051
79,Uttar Pradesh,Amroha,1716641,64.58,1108579
80,Uttar Pradesh,Baghpat,1653146,56.16,928392
81,Uttar Pradesh,Bulandshahr,1859462,56.42,1049189
82,Uttar Pradesh,Gautam Buddha Nagar,2675148,53.63,1434667
83,Uttar Pradesh,Ghaziabad,2945487,49.88,1469260
84,Uttar Pradesh,Mathura,1929550,49.41,953388
85,Uttar Pradesh,Meerut,2000530,58.94,1179121
86,West Bengal,Balurghat,1561966,79.09,1235347
87,West Bengal,Darjeeling,1765744,74.76,1320072
88,West Bengal,Raiganj,1790245,76.18,1363854
